order_id,customer_id,product_id,seller_id,order_date,delivery_date,quantity,selling_price,discount,final_amount,payment_method,order_status
O000001,C03745,P00498,S0295,2026-03-12,2026-03-19,1,4924.0,1231.0,3693.0,UPI,Delivered
O000002,C03069,P00656,S0054,2025-11-14,2025-11-19,1,3661.0,183.05,3477.95,Net Banking,Delivered
O000003,C03453,P00404,S0159,2025-11-25,2025-11-27,2,952.0,285.6,1618.4,Debit Card,Delivered
O000004,C03181,P00626,S0299,2026-01-18,2026-01-24,1,232.0,46.4,185.6,Net Banking,Delivered
O000005,C00179,P00248,S0126,2025-11-29,2025-12-02,1,1051.0,210.2,840.8,COD,Delivered
O000006,C02280,P00252,S0202,2026-05-15,2026-05-22,1,2979.0,744.75,2234.25,COD,Delivered
O000007,C01860,P00225,S0037,2026-07-30,2026-08-02,2,1928.0,1156.8,2699.2,Credit Card,Delivered
O000008,C01188,P00378,S0194,2026-08-07,2026-08-14,3,1798.0,1078.8,4315.2,COD,Delivered
O000009,C00473,P00577,S0048,2026-02-23,2026-02-25,1,333.0,16.65,316.35,Net Banking,Delivered
O000010,C00409,P00423,S0154,2026-02-20,2026-02-22,1,2776.0,694.0,2082.0,COD,Delivered
O000011,C03701,P00366,S0031,2025-11-06,2025-11-08,1,1834.0,91.7,1742.3,UPI,Delivered
O000012,C00168,P00397,S0149,2025-09-24,2025-10-02,1,1700.0,255.0,1445.0,Net Banking,Delivered
O000013,C03281,P00699,S0039,2026-07-10,2026-07-17,1,1141.0,342.3,798.7,UPI,Delivered
O000014,C04266,P00712,S0152,2026-07-12,2026-07-16,1,1690.0,338.0,1352.0,UPI,Delivered
O000015,C03677,P00173,S0188,2026-06-26,2026-07-04,1,1629.0,162.9,1466.1,COD,Delivered
O000016,C04017,P00377,S0038,2025-10-13,2025-10-21,1,3393.0,678.6,2714.4,COD,Delivered
O000017,C03421,P00434,S0038,2026-02-09,2026-02-15,1,559.0,0.0,559.0,UPI,Delivered
O000018,C00078,P00141,S0227,2026-03-20,2026-03-27,1,1873.0,93.65,1779.35,Debit Card,Delivered
O000019,C02568,P00750,S0017,2026-03-07,,2,2397.0,0.0,4794.0,COD,Cancelled
O000020,C00772,P00044,S0261,2025-11-05,2025-11-10,1,749.0,74.9,674.1,Debit Card,Delivered
O000021,C03395,P00223,S0093,2025-10-02,2025-10-05,1,1065.0,106.5,958.5,UPI,Delivered
O000022,C04593,P00628,S0258,2026-04-27,2026-04-30,1,4577.0,915.4,3661.6,UPI,Delivered
O000023,C04834,P00174,S0151,2026-07-08,2026-07-14,1,894.0,178.8,715.2,Net Banking,Delivered
O000024,C01366,P00921,S0266,2026-08-03,2026-08-11,1,1803.0,540.9,1262.1,COD,Delivered
O000025,C00630,P00288,S0103,2026-03-17,2026-03-24,3,1205.0,361.5,3253.5,UPI,Delivered
O000026,C00942,P00144,S0161,2026-02-26,2026-02-28,1,447.0,111.75,335.25,Debit Card,Delivered
O000027,C01984,P00552,S0012,2025-09-19,2025-09-23,1,1272.0,381.6,890.4,UPI,Delivered
O000028,C00372,P00231,S0167,2026-01-16,2026-01-21,1,515.0,154.5,360.5,UPI,Delivered
O000029,C04927,P00068,S0027,2026-02-09,2026-02-13,1,2384.0,238.4,2145.6,UPI,Delivered
O000030,C02800,P00275,S0165,2026-08-01,2026-08-08,1,4684.0,1405.2,3278.8,UPI,Delivered
O000031,C04801,P00612,S0142,2026-05-18,2026-05-26,1,812.0,0.0,812.0,COD,Delivered
O000032,C01785,P00650,S0028,2026-06-16,2026-06-24,1,544.0,27.2,516.8,Net Banking,Delivered
O000033,C02802,P00695,S0045,2025-10-04,2025-10-10,1,2167.0,216.7,1950.3,Credit Card,Delivered
O000034,C01510,P00780,S0219,2026-01-23,2026-01-31,1,2776.0,0.0,2776.0,Net Banking,Delivered
O000035,C02082,P00336,S0261,2026-04-20,2026-04-22,2,1025.0,102.5,1947.5,Debit Card,Delivered
O000036,C01493,P00892,S0222,2026-08-07,2026-08-14,1,849.0,254.7,594.3,UPI,Delivered
O000037,C01911,P00861,S0107,2026-05-30,2026-06-07,1,1627.0,162.7,1464.3,COD,Delivered
O000038,C04546,P00373,S0196,2025-12-17,2025-12-20,1,1244.0,0.0,1244.0,Credit Card,Delivered
O000039,C04941,P00761,S0196,2025-12-13,2025-12-19,1,509.0,152.7,356.3,UPI,Delivered
O000040,C02767,P00454,S0190,2026-06-25,2026-07-02,1,886.0,177.2,708.8,COD,Delivered
O000041,C04746,P00391,S0094,2026-05-13,2026-05-20,1,818.0,204.5,613.5,COD,Delivered
O000042,C04960,P00212,S0161,2025-11-09,2025-11-17,1,2357.0,353.55,2003.45,Debit Card,Delivered
O000043,C02693,P00364,S0300,2026-07-10,2026-07-16,2,1969.0,0.0,3938.0,COD,Delivered
O000044,C01690,P00663,S0115,2025-11-29,2025-12-04,2,2760.0,828.0,4692.0,UPI,Delivered
O000045,C03918,P00631,S0054,2026-07-31,2026-08-07,1,2489.0,373.35,2115.65,COD,Delivered
O000046,C00092,P00991,S0203,2026-08-07,2026-08-10,2,1389.0,277.8,2500.2,UPI,Delivered
O000047,C02215,P00782,S0071,2025-09-28,2025-10-06,1,1521.0,304.2,1216.8,Credit Card,Delivered
O000048,C00503,P00191,S0253,2026-03-09,2026-03-12,1,511.0,25.55,485.45,UPI,Delivered
O000049,C02528,P00287,S0026,2025-08-18,2025-08-26,1,1147.0,229.4,917.6,COD,Delivered
O000050,C02200,P00358,S0242,2025-11-05,2025-11-09,1,650.0,130.0,520.0,COD,Delivered
O000051,C00253,P01000,S0057,2025-10-30,2025-11-07,1,1093.0,54.65,1038.35,UPI,Delivered
O000052,C04923,P00613,S0109,2026-01-15,2026-01-17,1,309.0,30.9,278.1,COD,Delivered
O000053,C04217,P00422,S0214,2026-03-17,2026-03-21,1,1168.0,116.8,1051.2,COD,Delivered
O000054,C04719,P00085,S0094,2026-01-03,2026-01-09,1,391.0,58.65,332.35,UPI,Delivered
O000055,C00533,P00509,S0280,2025-11-17,2025-11-24,1,1928.0,192.8,1735.2,COD,Delivered
O000056,C02661,P00762,S0065,2025-09-27,2025-10-05,1,1921.0,384.2,1536.8,COD,Delivered
O000057,C00624,P00817,S0190,2026-07-18,2026-07-25,2,1787.0,1072.2,2501.8,COD,Delivered
O000058,C03141,P00158,S0104,2026-01-21,2026-01-27,1,867.0,43.35,823.65,Net Banking,Delivered
O000059,C00289,P00019,S0228,2026-07-01,2026-07-08,2,882.0,88.2,1675.8,UPI,Delivered
O000060,C04777,P00696,S0159,2026-07-16,2026-07-24,2,599.0,179.7,1018.3,COD,Delivered
O000061,C02843,P00264,S0072,2025-12-08,2025-12-12,1,578.0,86.7,491.3,COD,Delivered
O000062,C00536,P00873,S0102,2026-06-27,2026-07-03,2,1030.0,618.0,1442.0,UPI,Delivered
O000063,C01889,P00595,S0197,2026-01-14,2026-01-17,1,1048.0,262.0,786.0,COD,Delivered
O000064,C03102,P00541,S0236,2026-03-16,2026-03-20,1,1369.0,273.8,1095.2,UPI,Delivered
O000065,C01652,P00501,S0224,2026-01-11,2026-01-14,1,3664.0,732.8,2931.2,COD,Delivered
O000066,C03872,P00540,S0289,2026-02-16,2026-02-21,1,466.0,116.5,349.5,Net Banking,Delivered
O000067,C02085,P00642,S0067,2025-08-30,2025-09-07,1,803.0,240.9,562.1,COD,Delivered
O000068,C02329,P00231,S0167,2025-12-16,2025-12-22,1,515.0,25.75,489.25,Net Banking,Delivered
O000069,C04543,P00142,S0082,2026-01-26,2026-01-30,1,1105.0,165.75,939.25,Debit Card,Delivered
O000070,C00178,P00835,S0297,2026-06-02,,2,639.0,63.9,1214.1,Debit Card,Cancelled
