return_id,order_id,return_date,return_reason,return_category,refund_amount,return_status,condition_after_return
R000001,O000002,2025-11-25,Missing Accessories,Product Issue,3078.3,Approved,Good
R000002,O000005,2025-12-08,Damaged Product,Product Issue,727.15,Approved,Damaged
R000003,O000008,2026-08-19,Wrong Product,Product Issue,3870.47,Approved,Damaged
R000004,O000014,2026-07-21,Product Quality Issue,Product Issue,1202.67,Approved,Opened
R000005,O000015,2026-07-12,Product Quality Issue,Product Issue,1248.95,Approved,Good
R000006,O000021,2025-10-15,Not as Expected,Customer Preference,936.19,Approved,Good
R000007,O000036,2026-08-18,Missing Accessories,Product Issue,521.6,Approved,Damaged
R000008,O000043,2026-07-25,Wrong Product,Product Issue,3862.44,Approved,Good
R000009,O000048,2026-03-18,Wrong Product,Product Issue,445.63,Approved,Opened
R000010,O000056,2025-10-07,Damaged Product,Product Issue,1497.56,Approved,Damaged
R000011,O000059,2026-07-10,Late Delivery,Customer Preference,1540.58,Approved,Damaged
R000012,O000062,2026-07-06,Wrong Product,Product Issue,1339.96,Approved,Damaged
R000013,O000083,2026-08-11,Not as Expected,Customer Preference,782.35,Approved,Good
R000014,O000092,2026-07-09,Missing Accessories,Product Issue,1375.21,Approved,Good
R000015,O000096,2025-08-26,Wrong Product ,Product Issue,1056.52,Approved,Damaged
R000016,O000097,2026-04-13,Missing Accessories,Product Issue,813.98,Approved,Opened
R000017,O000099,2025-12-27,Wrong Size,Customer Preference,881.95,Approved,Good
R000018,O000100,2026-06-25,Damaged Product,Product Issue,395.32,Approved,Opened
R000019,O000106,2026-04-28,Changed Mind,Customer Preference,3388.07,Approved,Opened
R000020,O000108,2025-10-29,Changed Mind,Customer Preference,913.0,Approved,Good
R000021,O000115,2025-11-02,Missing Accessories,Product Issue,2425.27,Approved,Good
R000022,O000132,2026-01-30,Changed Mind,Customer Preference,1394.86,Approved,Good
R000023,O000137,2026-04-29,Late Delivery,Customer Preference,1542.48,Approved,Opened
R000024,O000175,2026-02-13,Wrong Product,Product Issue,1079.21,Approved,Opened
R000025,O000180,2026-07-22,Not as Expected,Customer Preference,3197.33,Approved,Damaged
R000026,O000187,2026-02-20,Damaged Product,Product Issue,1267.49,Approved,Good
R000027,O000197,2025-10-03,Product Quality Issue,Product Issue,3122.6,Approved,Good
R000028,O000203,2025-10-18,Damaged Product,Product Issue,1415.01,Approved,Opened
R000029,O000207,2026-01-13,Wrong Product,Product Issue,220.02,Approved,Good
R000030,O000214,2026-07-01,Wrong Product,Product Issue,2402.18,Approved,Opened
R000031,O000219,2026-02-03,Wrong Size,Customer Preference,1451.54,Approved,Damaged
R000032,O000229,2026-04-02,Wrong Product,Product Issue,1881.94,Approved,Good
R000033,O000233,2026-01-06,Product Quality Issue,Product Issue,2994.61,Approved,Good
R000034,O000240,2026-07-22,Missing Accessories,Product Issue,3504.31,Approved,Damaged
R000035,O000251,2025-09-30,Missing Accessories,Product Issue,2151.49,Rejected,Opened
R000036,O000257,2025-12-20,Changed Mind,Customer Preference,1132.6,Approved,Good
R000037,O000279,2026-05-13,Product Quality Issue,Product Issue,2153.0,Approved,Opened
R000038,O000292,2026-03-11,Changed Mind,Customer Preference,634.94,Approved,Good
R000039,O000293,2026-08-22,Late Delivery,Customer Preference,893.82,Approved,Good
R000040,O000307,2026-04-09,Not as Expected,Customer Preference,291.1,Approved,Good
R000041,O000315,2025-12-22,Not as Expected,Customer Preference,3057.88,Approved,Damaged
R000042,O000323,2026-01-14,Damaged Product,Product Issue,1286.55,Approved,Opened
R000043,O000331,2025-10-28,Product Quality Issue,Product Issue,123.75,Approved,Damaged
R000044,O000340,2026-04-27,Damaged Product,Product Issue,1295.43,Approved,Good
R000045,O000347,2025-11-09,Not as Expected,Customer Preference,947.84,Approved,Opened
R000046,O000363,2026-08-06,Changed Mind,Customer Preference,2164.47,Approved,Damaged
R000047,O000364,2025-10-11,Late Delivery,Customer Preference,1827.71,Approved,Good
R000048,O000365,2026-03-18,Not as Expected,Customer Preference,1483.78,Approved,Good
R000049,O000370,2026-06-11,Wrong Product,Product Issue,488.62,Approved,Damaged
R000050,O000372,2026-02-02,Wrong Product,Product Issue,373.12,Approved,Good
R000051,O000392,2026-01-07,Missing Accessories,Product Issue,748.44,Approved,Damaged
R000052,O000393,2026-01-08,Damaged Product,Product Issue,1495.1,Approved,Damaged
R000053,O000429,2025-12-15,Product Quality Issue,Product Issue,3400.14,Approved,Damaged
R000054,O000437,2025-12-11,Damaged Product,Product Issue,757.9,Approved,Damaged
R000055,O000438,2026-05-17,Changed Mind,Customer Preference,827.03,Approved,Damaged
R000056,O000444,2026-03-13,Not as Expected,Customer Preference,2144.85,Approved,Opened
R000057,O000445,2026-07-09,Wrong Size,Customer Preference,1797.44,Approved,Opened
R000058,O000454,2026-04-25,Not as Expected,Customer Preference,965.68,Approved,Good
R000059,O000456,2026-01-18,Missing Accessories,Product Issue,3078.24,Approved,Damaged
R000060,O000458,2026-07-15,Wrong Size,Customer Preference,2260.04,Approved,Good
R000061,O000463,2025-09-29,Damaged Product,Product Issue,1322.5,Approved,Damaged
R000062,O000471,2026-04-13,Wrong Size,Customer Preference,761.89,Approved,Good
R000063,O000478,2025-09-17,Damaged Product,Product Issue,1081.16,Approved,Damaged
R000064,O000490,2025-09-30,Not as Expected,Customer Preference,3298.85,Approved,Opened
