seller_id,seller_name,city,state,seller_rating,seller_since
S0001,Style Bazaar,Trichy,Tamil Nadu,4.27,2022-05-15
S0002,Urban Bazaar,Ahmedabad,Gujarat,3.92,2022-01-05
S0003,Smart Bazaar,Kochi,Kerala,4.36,2025-06-18
S0004,Mega Enterprises,Visakhapatnam,Andhra Pradesh,4.84,2024-07-28
S0005,Trend Mart,Jaipur,Rajasthan,3.87,2025-11-01
S0006,Value Enterprises,Mysuru,Karnataka,3.87,2022-10-14
S0007,Urban Store,Hyderabad,Telangana,4.87,2022-10-30
S0008,Trend World,Mysuru,Karnataka,4.42,2024-09-15
S0009,Royal Collections,Pune,Maharashtra,3.74,2022-02-09
S0010,Urban Traders,Mumbai,Maharashtra,4.3,2023-07-07
S0011,Smart Mart,Pune,Maharashtra,3.75,2024-04-25
S0012,Fresh Fashion,Bengaluru,Karnataka,3.74,2024-12-02
S0013,Prime Mart,Lucknow,Uttar Pradesh,4.13,2024-08-26
S0014,Royal Collections,Madurai,Tamil Nadu,2.95,2025-08-03
S0015,Smart Fashion,Mysuru,Karnataka,3.05,2024-01-24
S0016,Daily Mart,Coimbatore,Tamil Nadu,3.69,2023-08-17
S0017,Style Fashion,Lucknow,Uttar Pradesh,3.44,2025-09-30
S0018,Royal Store,Patna,Bihar,4.17,2024-09-11
S0019,Royal Enterprises,Indore,Madhya Pradesh,3.5,2025-01-19
S0020,Style Store,Pune,Maharashtra,3.22,2025-06-18
S0021,Mega Collections,Visakhapatnam,Andhra Pradesh,4.81,2025-01-30
S0022,Urban Hub,Pune,Maharashtra,3.88,2026-07-31
S0023,Fresh Traders,Ahmedabad,Gujarat,4.04,2022-11-06
S0024,Royal Collections,Patna,Bihar,3.22,2025-06-03
S0025,Smart Enterprises,Indore,Madhya Pradesh,3.7,2024-07-31
S0026,Prime Collections,Bhopal,Madhya Pradesh,4.06,2023-01-16
S0027,Daily Mart,Bengaluru,Karnataka,3.37,2023-01-05
S0028,Daily Hub,Bhubaneswar,Odisha,4.21,2023-12-06
S0029,Fresh Fashion,Kolkata,West Bengal,3.67,2024-11-24
S0030,Fresh Collections,Pune,Maharashtra,3.84,2026-01-04
S0031,Royal Traders,Mumbai,Maharashtra,3.67,2024-05-05
S0032,Royal Store,Hyderabad,Telangana,5.0,2025-02-20
S0033,Prime Collections,Mysuru,Karnataka,3.99,2021-12-26
S0034,Prime Mart,Madurai,Tamil Nadu,3.42,2021-12-12
S0035,Fresh Bazaar,Trichy,Tamil Nadu,4.45,2024-04-24
S0036,Urban Traders,Bhopal,Madhya Pradesh,3.33,2022-02-07
S0037,Fresh Hub,Ahmedabad,Gujarat,4.11,2022-09-08
S0038,Urban Store,Visakhapatnam,Andhra Pradesh,2.92,2024-01-17
S0039,Urban Bazaar,Lucknow,Uttar Pradesh,3.27,2022-07-06
S0040,Urban Traders,Delhi,Delhi,4.11,2024-11-29
S0041,Smart Enterprises,Visakhapatnam,Andhra Pradesh,4.41,2022-08-01
S0042,Mega Fashion,Trichy,Tamil Nadu,4.09,2024-09-04
S0043,Smart Enterprises,Ahmedabad,Gujarat,3.94,2024-11-24
S0044,Royal Store,Trichy,Tamil Nadu,3.83,2025-08-31
S0045,Smart Collections,Mysuru,Karnataka,3.19,2026-03-27
S0046,Style Fashion,Indore,Madhya Pradesh,3.6,2022-02-23
S0047,Trend World,Mumbai,Maharashtra,3.75,2022-10-21
S0048,Smart Collections,Lucknow,Uttar Pradesh,4.58,2022-10-06
S0049,Daily Fashion,Chennai,Tamil Nadu,4.19,2023-01-06
S0050,Smart Store,Bengaluru,Karnataka,3.03,2024-06-12
S0051,Smart Hub,Kolkata,West Bengal,4.18,2025-08-23
S0052,Value Hub,Jaipur,Rajasthan,3.79,2024-04-30
S0053,Trend Mart,Hyderabad,Telangana,3.63,2025-12-22
S0054,Trend Traders,Patna,Bihar,4.34,2022-02-22
S0055,Value Fashion,Delhi,Delhi,4.57,2025-08-15
S0056,Urban Fashion,Lucknow,Uttar Pradesh,4.51,2024-12-12
S0057,Fresh Bazaar,Bhopal,Madhya Pradesh,3.54,2025-03-24
S0058,Mega Enterprises,Bhopal,Madhya Pradesh,3.83,2026-08-01
S0059,Value Bazaar,Chennai,Tamil Nadu,4.18,2022-03-01
S0060,Smart Mart,Chennai,Tamil Nadu,4.54,2024-07-13
S0061,Mega Hub,Ahmedabad,Gujarat,3.74,2024-02-15
S0062,Daily Store,Bhopal,Madhya Pradesh,3.9,2024-10-01
S0063,Daily Traders,Visakhapatnam,Andhra Pradesh,3.39,2022-07-09
S0064,Royal Fashion,Lucknow,Uttar Pradesh,3.34,2024-01-25
S0065,Smart Hub,Visakhapatnam,Andhra Pradesh,4.45,2022-07-09
S0066,Trend Collections,Kochi,Kerala,4.75,2022-09-19
S0067,Daily Hub,Visakhapatnam,Andhra Pradesh,3.96,2022-09-29
S0068,Value Collections,Mumbai,Maharashtra,4.55,2022-07-30
S0069,Royal Bazaar,Lucknow,Uttar Pradesh,4.2,2023-05-24
S0070,Smart Collections,Jaipur,Rajasthan,3.65,2022-06-12
S0071,Mega Collections,Ahmedabad,Gujarat,4.2,2026-08-05
S0072,Style Store,Chennai,Tamil Nadu,4.85,2025-05-16
S0073,Daily World,Kolkata,West Bengal,3.98,2024-03-23
S0074,Smart Collections,Madurai,Tamil Nadu,4.86,2025-05-29
S0075,Daily Collections,Chennai,Tamil Nadu,2.56,2023-02-27
S0076,Mega Fashion,Bengaluru,Karnataka,4.45,2025-11-02
S0077,Prime Enterprises,Trichy,Tamil Nadu,4.05,2023-02-16
S0078,Trend Mart,Kochi,Kerala,3.84,2023-12-28
S0079,Mega Enterprises,Bengaluru,Karnataka,4.05,2024-06-18
S0080,Mega Hub,Jaipur,Rajasthan,2.91,2023-06-07
S0081,Style Traders,Mumbai,Maharashtra,3.88,2024-05-11
S0082,Smart Hub,Lucknow,Uttar Pradesh,4.2,2023-06-24
S0083,Mega Fashion,Mysuru,Karnataka,4.81,2023-10-27
S0084,Urban Hub,Mysuru,Karnataka,3.71,2025-10-09
S0085,Prime Enterprises,Kolkata,West Bengal,3.56,2025-03-30
S0086,Mega World,Pune,Maharashtra,3.72,2022-03-15
S0087,Fresh Enterprises,Chennai,Tamil Nadu,4.5,2026-04-04
S0088,Trend Traders,Trichy,Tamil Nadu,4.18,2026-06-18
S0089,Trend World,Trichy,Tamil Nadu,3.71,2023-11-15
S0090,Urban Fashion,Coimbatore,Tamil Nadu,4.28,2024-03-24
S0091,Fresh Traders,Bhubaneswar,Odisha,4.05,2025-09-22
S0092,Prime Store,Mysuru,Karnataka,4.53,2024-07-14
S0093,Smart Store,Mysuru,Karnataka,3.61,2024-07-16
S0094,Prime Enterprises,Mysuru,Karnataka,3.82,2024-05-15
S0095,Fresh Store,Delhi,Delhi,3.78,2024-05-21
S0096,Fresh Collections,Ahmedabad,Gujarat,3.2,2022-09-12
S0097,Fresh Hub,Kochi,Kerala,4.16,2023-06-18
S0098,Royal Hub,Patna,Bihar,4.14,2022-09-27
S0099,Urban Store,Delhi,Delhi,4.0,2026-03-14
S0100,Prime World,Bhubaneswar,Odisha,3.87,2022-03-13
S0101,Value World,Jaipur,Rajasthan,3.22,2026-06-07
S0102,Urban Hub,Patna,Bihar,3.77,2022-02-16
S0103,Value Collections,Delhi,Delhi,3.81,2025-03-01
S0104,Urban Hub,Chennai,Tamil Nadu,3.56,2025-11-01
S0105,Mega World,Mysuru,Karnataka,3.91,2023-09-26
S0106,Royal World,Indore,Madhya Pradesh,4.22,2024-08-09
S0107,Trend Enterprises,Indore,Madhya Pradesh,5.0,2026-07-31
S0108,Daily Hub,Bhopal,Madhya Pradesh,4.1,2022-02-26
S0109,Value Hub,Kolkata,West Bengal,4.14,2024-05-06
S0110,Prime Hub,Delhi,Delhi,3.96,2023-09-20
S0111,Trend Fashion,Bengaluru,Karnataka,2.94,2023-07-01
S0112,Prime Collections,Mysuru,Karnataka,3.99,2023-07-10
S0113,Smart Collections,Kochi,Kerala,4.03,2023-03-28
S0114,Trend Collections,Madurai,Tamil Nadu,5.0,2021-12-19
S0115,Value Store,Chennai,Tamil Nadu,3.89,2025-05-12
S0116,Value Collections,Coimbatore,Tamil Nadu,4.17,2025-09-29
S0117,Value World,Visakhapatnam,Andhra Pradesh,3.98,2022-07-16
S0118,Prime Fashion,Hyderabad,Telangana,3.36,2021-12-22
S0119,Fresh Store,Indore,Madhya Pradesh,4.63,2021-11-09
